scenario_id,title,description,target_context,cue_type,activity_domain,modality_required,alignment,evidence_status,scenario_action,answer_key_action,severity,issue_types,what_works,what_doesnt,gap_analysis,overlap_with,recommended_changes
sc-69,Home Office Blended Shift,Prior-context blended scenario in home office where Turn 2 should reach back to an earlier referent.,prior,blended,home_office,text_sufficient,core-aligned,answerable-from-release,keep,keep,low,,This scenario uses a recognizable prior-context shape in home office and captures a real reference-carryover failure mode that a wearable assistant can hit.,No major benchmark-quality issue stands out beyond normal maintenance risk.,This scenario stays within the benchmark’s stated scope and is sufficiently distinct to support product-facing model comparison.,,Keep the scenario and answer keys as-is.
sc-71,Retail Object Swap,Auxiliary clarify object shift scenario in retail where the released inputs leave Turn 2 under-specified.,clarify,object_shift,retail,text_sufficient,auxiliary-aligned,underspecified-by-design,keep,keep,low,,This auxiliary scenario draws a clear boundary case in retail and helps test whether the assistant asks or declines instead of guessing.,No major benchmark-quality issue stands out beyond normal maintenance risk.,This scenario stays within the benchmark’s stated scope and is sufficiently distinct to support product-facing model comparison.,,Keep the scenario and answer keys as-is.
sc-73,Yard Departure Recall,Auxiliary clarify object departure scenario in yard where the released inputs leave Turn 2 under-specified.,clarify,object_departure,outdoor_yard,text_sufficient,auxiliary-aligned,underspecified-by-design,keep,keep,low,,This auxiliary scenario draws a clear boundary case in yard and helps test whether the assistant asks or declines instead of guessing.,No major benchmark-quality issue stands out beyond normal maintenance risk.,This scenario stays within the benchmark’s stated scope and is sufficiently distinct to support product-facing model comparison.,,Keep the scenario and answer keys as-is.
sc-74,Gym Return Recall,Auxiliary clarify object return scenario in gym where the released inputs leave Turn 2 under-specified.,clarify,object_return,gym,text_sufficient,auxiliary-aligned,underspecified-by-design,keep,keep,low,,This auxiliary scenario draws a clear boundary case in gym and helps test whether the assistant asks or declines instead of guessing.,No major benchmark-quality issue stands out beyond normal maintenance risk.,This scenario stays within the benchmark’s stated scope and is sufficiently distinct to support product-facing model comparison.,,Keep the scenario and answer keys as-is.
sc-76,Screen Blended Shift,Auxiliary clarify blended scenario in screen where the released inputs leave Turn 2 under-specified.,clarify,blended,screen_only,text_sufficient,auxiliary-aligned,underspecified-by-design,keep,keep,low,,This auxiliary scenario draws a clear boundary case in screen and helps test whether the assistant asks or declines instead of guessing.,No major benchmark-quality issue stands out beyond normal maintenance risk.,This scenario stays within the benchmark’s stated scope and is sufficiently distinct to support product-facing model comparison.,,Keep the scenario and answer keys as-is.
sc-77,Bedroom Room Shift,Auxiliary abstain spatial shift scenario in bedroom where the released inputs do not support a grounded answer.,abstain,spatial_shift,home_bedroom,visual_required,auxiliary-aligned,unanswerable-by-design,keep,keep,low,,This auxiliary scenario draws a clear boundary case in bedroom and helps test whether the assistant asks or declines instead of guessing.,No major benchmark-quality issue stands out beyond normal maintenance risk.,This scenario stays within the benchmark’s stated scope and is sufficiently distinct to support product-facing model comparison.,,Keep the scenario and answer keys as-is.
sc-78,Living Room Object Swap,Auxiliary abstain object shift scenario in living room where the released inputs do not support a grounded answer.,abstain,object_shift,home_living,text_sufficient,auxiliary-aligned,unanswerable-by-design,keep,keep,low,,This auxiliary scenario draws a clear boundary case in living room and helps test whether the assistant asks or declines instead of guessing.,No major benchmark-quality issue stands out beyond normal maintenance risk.,This scenario stays within the benchmark’s stated scope and is sufficiently distinct to support product-facing model comparison.,,Keep the scenario and answer keys as-is.
sc-79,Warehouse Return Recall,Auxiliary abstain object return scenario in warehouse where the released inputs do not support a grounded answer.,abstain,object_return,warehouse,text_sufficient,auxiliary-aligned,unanswerable-by-design,keep,keep,low,,This auxiliary scenario draws a clear boundary case in warehouse and helps test whether the assistant asks or declines instead of guessing.,No major benchmark-quality issue stands out beyond normal maintenance risk.,This scenario stays within the benchmark’s stated scope and is sufficiently distinct to support product-facing model comparison.,,Keep the scenario and answer keys as-is.
sc-81,Vehicle Blended Shift,Auxiliary abstain blended scenario in vehicle where the released inputs do not support a grounded answer.,abstain,blended,vehicle_cabin,text_sufficient,auxiliary-aligned,unanswerable-by-design,keep,keep,low,,This auxiliary scenario draws a clear boundary case in vehicle and helps test whether the assistant asks or declines instead of guessing.,No major benchmark-quality issue stands out beyond normal maintenance risk.,This scenario stays within the benchmark’s stated scope and is sufficiently distinct to support product-facing model comparison.,,Keep the scenario and answer keys as-is.
sc-82,Bedroom Room Shift,Current-context spatial shift scenario in bedroom where Turn 2 should pivot to the newly active referent.,current,spatial_shift,home_bedroom,text_sufficient,core-aligned,answerable-from-release,keep,keep,low,,This scenario uses a recognizable current-context shape in bedroom and captures a real reference-carryover failure mode that a wearable assistant can hit.,No major benchmark-quality issue stands out beyond normal maintenance risk.,This scenario stays within the benchmark’s stated scope and is sufficiently distinct to support product-facing model comparison.,,Keep the scenario and answer keys as-is.
sc-83,Workshop Room Shift,Current-context spatial shift scenario in workshop where Turn 2 should pivot to the newly active referent.,current,spatial_shift,workshop,text_sufficient,core-aligned,answerable-from-release,keep,keep,low,,This scenario uses a recognizable current-context shape in workshop and captures a real reference-carryover failure mode that a wearable assistant can hit.,No major benchmark-quality issue stands out beyond normal maintenance risk.,This scenario stays within the benchmark’s stated scope and is sufficiently distinct to support product-facing model comparison.,,Keep the scenario and answer keys as-is.
sc-84,Living Room Room Shift,Current-context spatial shift scenario in living room where Turn 2 should pivot to the newly active referent.,current,spatial_shift,home_living,text_sufficient,core-aligned,answerable-from-release,keep,keep,medium,turn_2_too_open_ended,This scenario uses a recognizable current-context shape in living room and captures a real reference-carryover failure mode that a wearable assistant can hit.,Turn 2 is broad enough that multiple reasonable answers could pass without proving the intended context selection.,This scenario stays within the benchmark’s stated scope and is sufficiently distinct to support product-facing model comparison.,,Keep the scenario and answer keys as-is.
sc-85,Garage Object Swap,Current-context object shift scenario in garage where Turn 2 should pivot to the newly active referent.,current,object_shift,garage,text_sufficient,core-aligned,answerable-from-release,keep,keep,low,,This scenario uses a recognizable current-context shape in garage and captures a real reference-carryover failure mode that a wearable assistant can hit.,No major benchmark-quality issue stands out beyond normal maintenance risk.,This scenario stays within the benchmark’s stated scope and is sufficiently distinct to support product-facing model comparison.,,Keep the scenario and answer keys as-is.
sc-86,Gym Object Swap,Current-context object shift scenario in gym where Turn 2 should pivot to the newly active referent.,current,object_shift,gym,text_sufficient,core-aligned,answerable-from-release,keep,keep,low,,This scenario uses a recognizable current-context shape in gym and captures a real reference-carryover failure mode that a wearable assistant can hit.,No major benchmark-quality issue stands out beyond normal maintenance risk.,This scenario stays within the benchmark’s stated scope and is sufficiently distinct to support product-facing model comparison.,,Keep the scenario and answer keys as-is.
sc-87,Workshop Object Swap,Current-context object shift scenario in workshop where Turn 2 should pivot to the newly active referent.,current,object_shift,workshop,text_sufficient,core-aligned,answerable-from-release,keep,keep,low,,This scenario uses a recognizable current-context shape in workshop and captures a real reference-carryover failure mode that a wearable assistant can hit.,No major benchmark-quality issue stands out beyond normal maintenance risk.,This scenario stays within the benchmark’s stated scope and is sufficiently distinct to support product-facing model comparison.,,Keep the scenario and answer keys as-is.
sc-88,Warehouse State Change,Current-context temporal state scenario in warehouse where Turn 2 should pivot to the newly active referent.,current,temporal_state,warehouse,text_sufficient,core-aligned,answerable-from-release,keep,keep,low,,This scenario uses a recognizable current-context shape in warehouse and captures a real reference-carryover failure mode that a wearable assistant can hit.,No major benchmark-quality issue stands out beyond normal maintenance risk.,This scenario stays within the benchmark’s stated scope and is sufficiently distinct to support product-facing model comparison.,,Keep the scenario and answer keys as-is.
sc-89,Social State Change,Current-context temporal state scenario in social where Turn 2 should pivot to the newly active referent.,current,temporal_state,social_gathering,text_sufficient,core-aligned,answerable-from-release,keep,keep,low,,This scenario uses a recognizable current-context shape in social and captures a real reference-carryover failure mode that a wearable assistant can hit.,No major benchmark-quality issue stands out beyond normal maintenance risk.,This scenario stays within the benchmark’s stated scope and is sufficiently distinct to support product-facing model comparison.,,Keep the scenario and answer keys as-is.
sc-90,Kitchen State Change,Current-context temporal state scenario in kitchen where Turn 2 should pivot to the newly active referent.,current,temporal_state,home_kitchen,text_sufficient,core-aligned,answerable-from-release,keep,keep,low,,This scenario uses a recognizable current-context shape in kitchen and captures a real reference-carryover failure mode that a wearable assistant can hit.,No major benchmark-quality issue stands out beyond normal maintenance risk.,This scenario stays within the benchmark’s stated scope and is sufficiently distinct to support product-facing model comparison.,,Keep the scenario and answer keys as-is.
sc-91,Living Room Departure Recall,Current-context object departure scenario in living room where Turn 2 should pivot to the newly active referent.,current,object_departure,home_living,text_sufficient,core-aligned,answerable-from-release,keep,keep,low,,This scenario uses a recognizable current-context shape in living room and captures a real reference-carryover failure mode that a wearable assistant can hit.,No major benchmark-quality issue stands out beyond normal maintenance risk.,This scenario stays within the benchmark’s stated scope and is sufficiently distinct to support product-facing model comparison.,,Keep the scenario and answer keys as-is.
sc-92,Bedroom Departure Recall,Current-context object departure scenario in bedroom where Turn 2 should pivot to the newly active referent.,current,object_departure,home_bedroom,text_sufficient,core-aligned,answerable-from-release,keep,keep,low,,This scenario uses a recognizable current-context shape in bedroom and captures a real reference-carryover failure mode that a wearable assistant can hit.,No major benchmark-quality issue stands out beyond normal maintenance risk.,This scenario stays within the benchmark’s stated scope and is sufficiently distinct to support product-facing model comparison.,,Keep the scenario and answer keys as-is.
sc-93,Library Return Recall,Current-context object return scenario in library where Turn 2 should pivot to the newly active referent.,current,object_return,library,text_sufficient,core-aligned,answerable-from-release,keep,keep,low,,This scenario uses a recognizable current-context shape in library and captures a real reference-carryover failure mode that a wearable assistant can hit.,No major benchmark-quality issue stands out beyond normal maintenance risk.,This scenario stays within the benchmark’s stated scope and is sufficiently distinct to support product-facing model comparison.,,Keep the scenario and answer keys as-is.
sc-94,Garage Return Recall,Current-context object return scenario in garage where Turn 2 should pivot to the newly active referent.,current,object_return,garage,text_sufficient,core-aligned,answerable-from-release,keep,keep,low,,This scenario uses a recognizable current-context shape in garage and captures a real reference-carryover failure mode that a wearable assistant can hit.,No major benchmark-quality issue stands out beyond normal maintenance risk.,This scenario stays within the benchmark’s stated scope and is sufficiently distinct to support product-facing model comparison.,,Keep the scenario and answer keys as-is.
sc-95,Gym Deictic Reference,Current-context verbal deictic scenario in gym where Turn 2 should pivot to the newly active referent.,current,verbal_deictic,gym,text_sufficient,core-aligned,answerable-from-release,keep,rewrite,medium,answer_key_misaligned|answer_key_too_generic,This scenario uses a recognizable current-context shape in gym and captures a real reference-carryover failure mode that a wearable assistant can hit.,The answer key rewards vague pivot language rather than a substantively correct answer to the user’s question.,This scenario stays within the benchmark’s stated scope and is sufficiently distinct to support product-facing model comparison.,,Keep the scenario and answer keys as-is.
sc-96,Screen Blended Shift,Current-context blended scenario in screen where Turn 2 should pivot to the newly active referent.,current,blended,screen_only,text_sufficient,core-aligned,answerable-from-release,keep,keep,medium,repair_anchor_leak,This scenario uses a recognizable current-context shape in screen and captures a real reference-carryover failure mode that a wearable assistant can hit.,No major benchmark-quality issue stands out beyond normal maintenance risk.,This scenario stays within the benchmark’s stated scope and is sufficiently distinct to support product-facing model comparison.,,Keep the scenario and answer keys as-is.
sc-99,Kitchen Object Swap,Prior-context object shift scenario in kitchen where Turn 2 should reach back to an earlier referent.,prior,object_shift,home_kitchen,text_sufficient,core-aligned,answerable-from-release,keep,keep,medium,text_recall_too_easy,This scenario uses a recognizable prior-context shape in kitchen and captures a real reference-carryover failure mode that a wearable assistant can hit.,"The answer is recoverable as direct Turn 1 text recall, so the context shift adds little real reference-resolution pressure.","This case fits the benchmark theme, but the released wording makes it closer to a short-term memory quiz than a strong situational reference test.",,Keep the scenario and answer keys as-is.
sc-100,Library Object Swap,Prior-context object shift scenario in library where Turn 2 should reach back to an earlier referent.,prior,object_shift,library,text_sufficient,core-aligned,answerable-from-release,keep,keep,low,,This scenario uses a recognizable prior-context shape in library and captures a real reference-carryover failure mode that a wearable assistant can hit.,No major benchmark-quality issue stands out beyond normal maintenance risk.,This scenario stays within the benchmark’s stated scope and is sufficiently distinct to support product-facing model comparison.,,Keep the scenario and answer keys as-is.
sc-101,Workshop State Change,Prior-context temporal state scenario in workshop where Turn 2 should reach back to an earlier referent.,prior,temporal_state,workshop,text_sufficient,core-aligned,answerable-from-release,keep,keep,low,,This scenario uses a recognizable prior-context shape in workshop and captures a real reference-carryover failure mode that a wearable assistant can hit.,No major benchmark-quality issue stands out beyond normal maintenance risk.,This scenario stays within the benchmark’s stated scope and is sufficiently distinct to support product-facing model comparison.,,Keep the scenario and answer keys as-is.
sc-102,Social State Change,Prior-context temporal state scenario in social where Turn 2 should reach back to an earlier referent.,prior,temporal_state,social_gathering,text_sufficient,core-aligned,answerable-from-release,keep,keep,low,,This scenario uses a recognizable prior-context shape in social and captures a real reference-carryover failure mode that a wearable assistant can hit.,No major benchmark-quality issue stands out beyond normal maintenance risk.,This scenario stays within the benchmark’s stated scope and is sufficiently distinct to support product-facing model comparison.,,Keep the scenario and answer keys as-is.
sc-104,Social Departure Recall,Prior-context object departure scenario in social where Turn 2 should reach back to an earlier referent.,prior,object_departure,social_gathering,text_sufficient,core-aligned,answerable-from-release,keep,keep,low,,This scenario uses a recognizable prior-context shape in social and captures a real reference-carryover failure mode that a wearable assistant can hit.,No major benchmark-quality issue stands out beyond normal maintenance risk.,This scenario stays within the benchmark’s stated scope and is sufficiently distinct to support product-facing model comparison.,,Keep the scenario and answer keys as-is.
sc-106,Kitchen Return Recall,Prior-context object return scenario in kitchen where Turn 2 should reach back to an earlier referent.,prior,object_return,home_kitchen,text_sufficient,core-aligned,answerable-from-release,keep,keep,low,,This scenario uses a recognizable prior-context shape in kitchen and captures a real reference-carryover failure mode that a wearable assistant can hit.,No major benchmark-quality issue stands out beyond normal maintenance risk.,This scenario stays within the benchmark’s stated scope and is sufficiently distinct to support product-facing model comparison.,,Keep the scenario and answer keys as-is.
sc-107,Living Room Deictic Reference,Prior-context verbal deictic scenario in living room where Turn 2 should reach back to an earlier referent.,prior,verbal_deictic,home_living,text_sufficient,core-aligned,answerable-from-release,keep,keep,low,,This scenario uses a recognizable prior-context shape in living room and captures a real reference-carryover failure mode that a wearable assistant can hit.,No major benchmark-quality issue stands out beyond normal maintenance risk.,This scenario stays within the benchmark’s stated scope and is sufficiently distinct to support product-facing model comparison.,,Keep the scenario and answer keys as-is.
sc-108,Warehouse Blended Shift,Prior-context blended scenario in warehouse where Turn 2 should reach back to an earlier referent.,prior,blended,warehouse,text_sufficient,core-aligned,answerable-from-release,keep,keep,low,,This scenario uses a recognizable prior-context shape in warehouse and captures a real reference-carryover failure mode that a wearable assistant can hit.,No major benchmark-quality issue stands out beyond normal maintenance risk.,This scenario stays within the benchmark’s stated scope and is sufficiently distinct to support product-facing model comparison.,,Keep the scenario and answer keys as-is.
sc-109,Retail Blended Shift,Prior-context blended scenario in retail where Turn 2 should reach back to an earlier referent.,prior,blended,retail,text_sufficient,core-aligned,answerable-from-release,keep,keep,low,,This scenario uses a recognizable prior-context shape in retail and captures a real reference-carryover failure mode that a wearable assistant can hit.,No major benchmark-quality issue stands out beyond normal maintenance risk.,This scenario stays within the benchmark’s stated scope and is sufficiently distinct to support product-facing model comparison.,,Keep the scenario and answer keys as-is.
sc-110,Home Office Room Shift,Auxiliary clarify spatial shift scenario in home office where the released inputs leave Turn 2 under-specified.,clarify,spatial_shift,home_office,visual_required,auxiliary-aligned,underspecified-by-design,keep,keep,low,,This auxiliary scenario draws a clear boundary case in home office and helps test whether the assistant asks or declines instead of guessing.,No major benchmark-quality issue stands out beyond normal maintenance risk.,This scenario stays within the benchmark’s stated scope and is sufficiently distinct to support product-facing model comparison.,,Keep the scenario and answer keys as-is.
sc-111,Garage Object Swap,Auxiliary clarify object shift scenario in garage where the released inputs leave Turn 2 under-specified.,clarify,object_shift,garage,text_sufficient,auxiliary-aligned,underspecified-by-design,keep,keep,low,,This auxiliary scenario draws a clear boundary case in garage and helps test whether the assistant asks or declines instead of guessing.,No major benchmark-quality issue stands out beyond normal maintenance risk.,This scenario stays within the benchmark’s stated scope and is sufficiently distinct to support product-facing model comparison.,,Keep the scenario and answer keys as-is.
sc-113,Screen Return Recall,Auxiliary clarify object return scenario in screen where the released inputs leave Turn 2 under-specified.,clarify,object_return,screen_only,visual_required,auxiliary-aligned,underspecified-by-design,keep,keep,low,,This auxiliary scenario draws a clear boundary case in screen and helps test whether the assistant asks or declines instead of guessing.,No major benchmark-quality issue stands out beyond normal maintenance risk.,This scenario stays within the benchmark’s stated scope and is sufficiently distinct to support product-facing model comparison.,,Keep the scenario and answer keys as-is.
sc-114,Social Deictic Reference,Auxiliary clarify verbal deictic scenario in social where the released inputs leave Turn 2 under-specified.,clarify,verbal_deictic,social_gathering,text_sufficient,auxiliary-aligned,underspecified-by-design,keep,keep,low,,This auxiliary scenario draws a clear boundary case in social and helps test whether the assistant asks or declines instead of guessing.,No major benchmark-quality issue stands out beyond normal maintenance risk.,This scenario stays within the benchmark’s stated scope and is sufficiently distinct to support product-facing model comparison.,,Keep the scenario and answer keys as-is.
sc-115,Vehicle Deictic Reference,Auxiliary clarify verbal deictic scenario in vehicle where the released inputs leave Turn 2 under-specified.,clarify,verbal_deictic,vehicle_cabin,text_sufficient,auxiliary-aligned,underspecified-by-design,keep,keep,low,,This auxiliary scenario draws a clear boundary case in vehicle and helps test whether the assistant asks or declines instead of guessing.,No major benchmark-quality issue stands out beyond normal maintenance risk.,This scenario stays within the benchmark’s stated scope and is sufficiently distinct to support product-facing model comparison.,,Keep the scenario and answer keys as-is.
sc-116,Bedroom Blended Shift,Auxiliary clarify blended scenario in bedroom where the released inputs leave Turn 2 under-specified.,clarify,blended,home_bedroom,text_sufficient,auxiliary-aligned,underspecified-by-design,keep,keep,low,,This auxiliary scenario draws a clear boundary case in bedroom and helps test whether the assistant asks or declines instead of guessing.,No major benchmark-quality issue stands out beyond normal maintenance risk.,This scenario stays within the benchmark’s stated scope and is sufficiently distinct to support product-facing model comparison.,,Keep the scenario and answer keys as-is.
sc-117,Living Room Room Shift,Auxiliary abstain spatial shift scenario in living room where the released inputs do not support a grounded answer.,abstain,spatial_shift,home_living,visual_required,auxiliary-aligned,unanswerable-by-design,keep,keep,low,,This auxiliary scenario draws a clear boundary case in living room and helps test whether the assistant asks or declines instead of guessing.,No major benchmark-quality issue stands out beyond normal maintenance risk.,This scenario stays within the benchmark’s stated scope and is sufficiently distinct to support product-facing model comparison.,,Keep the scenario and answer keys as-is.
sc-118,Workshop Object Swap,Auxiliary abstain object shift scenario in workshop where the released inputs do not support a grounded answer.,abstain,object_shift,workshop,visual_required,auxiliary-aligned,unanswerable-by-design,keep,keep,low,,This auxiliary scenario draws a clear boundary case in workshop and helps test whether the assistant asks or declines instead of guessing.,No major benchmark-quality issue stands out beyond normal maintenance risk.,This scenario stays within the benchmark’s stated scope and is sufficiently distinct to support product-facing model comparison.,,Keep the scenario and answer keys as-is.
sc-119,Library State Change,Auxiliary abstain temporal state scenario in library where the released inputs do not support a grounded answer.,abstain,temporal_state,library,visual_required,auxiliary-aligned,unanswerable-by-design,keep,keep,low,,This auxiliary scenario draws a clear boundary case in library and helps test whether the assistant asks or declines instead of guessing.,No major benchmark-quality issue stands out beyond normal maintenance risk.,This scenario stays within the benchmark’s stated scope and is sufficiently distinct to support product-facing model comparison.,,Keep the scenario and answer keys as-is.
sc-120,Garage Departure Recall,Auxiliary abstain object departure scenario in garage where the released inputs do not support a grounded answer.,abstain,object_departure,garage,visual_required,auxiliary-aligned,unanswerable-by-design,keep,keep,low,,This auxiliary scenario draws a clear boundary case in garage and helps test whether the assistant asks or declines instead of guessing.,No major benchmark-quality issue stands out beyond normal maintenance risk.,This scenario stays within the benchmark’s stated scope and is sufficiently distinct to support product-facing model comparison.,,Keep the scenario and answer keys as-is.
